#key	name	year	genre	developer	players
'98 Koushien (Japan) (Demo)	'98 Koushien : Koukou Yakyuu Simulation	1998	Sports / Baseball/Sports	Magical Company	1-2
'98 Koushien - Koukou Yakyuu Simulation (Japan)	'98 Koushien : Koukou Yakyuu Simulation	1998	Sports / Baseball/Sports	Magical Company	1-2
'99 Koushien (Japan)	'99 Koushien	1999	Sports / Baseball/Sports	Magical Company	1-2
'Butagee' de Iinja Nai (Japan)	'Butagee' de Iinja Nai	1998	Simulation	Shangri-La	1
0 kara no Mahjong - Mahjong Youchien Tamago-gumi (Japan)	Mahjong Youchien : Tamago-Gumi	1998	Mahjong/Asiatic board game	Affect	1
0 kara no Shougi - Shougi Youchien Ayumi-gumi (Japan)	0 Kara no Shogi : Shogi Youchien Ayumi-Gumi	1999	Shougi/Asiatic board game	Affect	1-2
007 - Demain ne Meurt Jamais (France)	007 : Tomorrow Never Dies	1999	Shooter / TPV/Shooter / FPV/Shooter	Black Ops Entertainment	1
007 - Der Morgen Stirbt Nie (Germany)	007 : Tomorrow Never Dies	1999	Shooter / TPV/Shooter / FPV/Shooter	Black Ops Entertainment	1
007 - Die Welt Ist Nicht Genug (Germany)	007 : The World Is Not Enough	2000	Shooter / FPV/Shooter	Black Ops Entertainment	1
007 - El Mundo Nunca es Suficiente (Spain)	007 : The World Is Not Enough	2000	Shooter / FPV/Shooter	Black Ops Entertainment	1
007 - Le Monde ne Suffit Pas (France)	007 : The World Is Not Enough	2000	Shooter / FPV/Shooter	Black Ops Entertainment	1
007 - The World Is Not Enough (USA)	007 : The World Is Not Enough	2000	Shooter / FPV/Shooter	Black Ops Entertainment	1
007 - Tomorrow Never Dies (USA)	007 : Tomorrow Never Dies	1999	Shooter / TPV/Shooter / FPV/Shooter	Black Ops Entertainment	1
007 Racing (USA)	007 Racing	2000	Racing, Driving	Eutechnyx	1-2
1 on 1 (Japan)	1 on 1	1998	Sports / Basketball/Sports	Jorudan	1-2
100 Man Yen Quiz Hunter (Japan)	100 Manyen Quiz Hunter	1998	Quiz	ISCO	1-4
100% Star (Europe)	Popstar Maker	2001	Strategy/Simulation/Music and Dancing	Eidos Interactive	1
10101 - Will the Starship (Japan)	10101: Will the Starship	1997	Adventure	Sound Technology Japan	1
19-ji 03-pun - Ueno-hatsu Yakou Ressha (Japan)	19-03 Ueno Hatsu Yakou Ressha	1999	Adventure	Visit	1
1Xtreme (USA)	ESPN Extreme Games	1995	Sports / Extreme/Sports/Racing, Driving	989 Studios	1-2
20-seiki Striker Retsuden - The 20th Century's Real Strikers (Japan)	Viva Soccer	1999	Sports / Football (Soccer)/Sports	Crimson	1-4
2002 FIFA World Cup (USA) (En,Es)	2002 FIFA World Cup	2002	Sports / Football (Soccer)/Sports	EA Canada	1-8
2Xtreme (USA)	2Xtreme	1996	Sports / Extreme/Sports	Sony Interactive Studios America	1-2
3, 2, 1, Smurf! My First Racing Game (Europe) (En,Fr,De,Es,It,Nl)	Smurf Racer!	2001	Racing, Driving	Artificial Mind & Movement	1-2
360 Three Sixty (Europe) (En,Fr,De,Es,It,Sv)	360 Three Sixty	1997	Racing, Driving	Smart Dog	1-2
3D Baseball (USA)	3D Baseball	1996	Sports / Baseball/Sports	Crystal Dynamics	1-2
3D Baseball - The Majors (Japan)	3D Baseball	1996	Sports / Baseball/Sports	Crystal Dynamics	1-2
3D Kakutou Tkool (Japan)	Fighter Maker	1999	Fighting / 3D/Fighting	ASCII	1-2
3D Lemmings (USA)	Lemmings 3D	1995	Puzzle	Clockwork Games	1
3D Mission Shooting - Finalist (Japan)	Tunnel B1	1996		NEON	1
3D Shooting Tkool (Japan)	3D Shooter Tsukuru	1996	Shooter	ASCII	1
3D-Kaleidoscope - Baby Universe (Japan)	Baby Universe	1997	Music and Dancing	Sony Computer Entertainment	1
3x3 Eyes - Kyuusei Koushu (Japan) (Disc 1)	3x3 Eyes : Kyuusei Koushu	1995	Adventure	Xing Interactive	1
3x3 Eyes - Tenrin'ou Genmu (Japan) (Disc 1)	3x3 Eyes : Tenrinou Genmu	1998	Adventure	King Records	1
3Xtreme (USA)	3Xtreme	1999	Sports	989	1-2
4-4-2 Soccer (Europe) (En,Fr,De,Es)	4-4-2 Soccer	1997	Sports / Football (Soccer)/Sports	Arc Developments Limited	1-2
40 Winks (USA)	40 Winks	1999	Platform	Eurocom	1
4x4 World Trophy (Europe) (En,Fr,De,Es,It)	Test Drive Off-Road 3	1999	Racing, Driving	Infogrames	1-2
5 Star Racing (Europe)	5 Star Racing	2003	Racing, Driving	Phoenix Games	1
50 por 15 - Quiere Ser Millonario (Spain)	Who Wants to Be a Millionaire ?	2000	Quiz/Puzzle	Hothouse Creations	1-4
70's Robot Anime - Geppy-X (Japan) (Demo)	70's Robot Anime : Geppy-X, The Super Boosted Armor	1999	Shoot'em Up	Aroma	1
70's Robot Anime - Geppy-X - The Super Boosted Armor (Japan) (Disc 1)	70's Robot Anime : Geppy-X, The Super Boosted Armor	1999	Shoot'em Up	Aroma	1
A Ressha de Ikou 4 - Evolution (Japan)	A IV Evolution : A-Ressha de Ikou 4	1994	Simulation	Artdink	1
A Ressha de Ikou 4 - Evolution Global (Japan) (En,Ja,Fr,De)	A-Train : Trains · Power · Money	1996	Simulation	Artdink	1
A Ressha de Ikou Z - Mezase! Tairiku Oudan (Japan)	A Ressha de Ikou Z : Mezase! Tairiku Oudan	1999	Build And Management/Simulation	Artdink	1
A Sangre Fria (Spain) (Disc 1)	In Cold Blood	2001	Adventure/Shooter	Revolution Software	1
A Sangue Freddo (Italy) (Disc 1)	In Cold Blood	2001	Adventure/Shooter	Revolution Software	1
A-Train - Trains, Power, Money (USA) (En,Ja,Fr,De)	A-Train : Trains · Power · Money	1996	Simulation	Artdink	1
A.IV - Evolution Global (Europe) (En,Ja,Fr,De)	A-Train : Trains · Power · Money	1996	Simulation	Artdink	1
A2 Racer - Europa Tour (Netherlands)	A2 Racer - Europa Tour	2000	Racing, Driving	Davilex	1
A5 - A Ressha de Ikou 5 (Japan, Asia)	A5 : A Ressha de Ikou 5	1997	Build And Management/Simulation	Artdink	1
AbalaBurn (Japan)	AbalaBurn	1998	Fighting	Tamsoft	1-2
Abe '99 (Japan) (Disc 1)	Oddworld : Abe's Exoddus	1998	Adventure/Platform	Oddworld Inhabitants	1-2
Abe a GoGo (Japan)	Oddworld : Abe's Oddysee	1997	Platform	Oddworld Inhabitants	1-2
Absolute Football (France) (En,Fr,De,Es,It,Pt)	Viva Soccer	1999	Sports / Football (Soccer)/Sports	Crimson	1-4
Ace Combat (Japan)	Air Combat	1995	Shooter / Plane/Shooter	Namco	1-2
Ace Combat 2 (USA)	Ace Combat 2	1997	Shooter/Shooter / Plane, TPV	Namco	1
Ace Combat 3 - Electrosphere (USA)	Ace Combat 3 : Electrosphere	2000	Shooter / Plane, TPV/Simulation / Vehicle/Simulation/Shooter	Namco	1
Ace Combat 3 - Electrosphere - Direct Audio with AppenDisc (Japan)	Ace Combat 3 : Electrosphere	2000	Shooter / Plane, TPV/Simulation / Vehicle/Simulation/Shooter	Namco	1
Aces of the Air (USA)	Aces of the Air	2002	Simulation	Highwaystar	1
Acid (Japan)	Acid	1999	Puzzle	Taki	1-2
Aconcagua (Japan) (Disc 1)	Aconcagua	2000	Adventure	Sony Computer Entertainment	1
Action Bass (USA)	Action Bass	2000	Fishing/Hunting and Fishing	Vingt-et-un Systems Corporation	1
Action Man - Destruction X (Europe) (En,Fr,De,Es,It)	Action Man : Destruction X	2000	Shooter/Racing, Driving	Blitz Games	1
Action Man - Mission Xtreme (Europe) (En,Fr,De,Es,It,Nl,Sv,No,Da,Fi)	Action Man : Operation Extreme	2000	Shooter/Racing, Driving	Interactive Studios	1
Action Man - Operation Extreme (USA)	Action Man : Operation Extreme	2000	Shooter/Racing, Driving	Interactive Studios	1
Activision Classics (USA)	Activision Classics	1998	Compilation	LTI Gray Matter	1-2
Actua Golf (Europe) (En,Fr,De)	VR Golf '97	1996	Sports / Golf/Sports	Gremlin Interactive	1-4
Actua Golf 2 (Europe)	FOX Sports Golf '99	1998	Sports / Golf/Sports	Gremlin Interactive	1-4
Actua Golf 3 (Europe)	Actua Golf 3	1998	Sports / Golf/Sports	Infogrames	1-4
Actua Ice Hockey (Europe) (En,Fr,De,Sv,Fi)	Actua Ice Hockey	1998	Sports / Hockey/Sports	Gremlin Interactive	1-2
Actua Ice Hockey 2 (Europe)	Actua Ice Hockey 2	1999	Sports / Hockey/Sports	Gremlin Interactive	1-4
Actua Pool (Europe)	Ultimate 8 Ball	1999	Sports / Pool/Sports	Infogrames	1-16
Actua Soccer (Europe) (En,Fr)	VR Soccer '96	1996	Sports / Football (Soccer)/Sports	Gremlin Interactive	1-2
Actua Soccer - Club Edition (Europe)	Actua Soccer : Club Edition	1997	Sports / Football (Soccer)/Sports	Gremlin Interactive	1-2
Actua Soccer 2 (Europe) (En,Fr)	Actua Soccer 2	1997	Sports / Football (Soccer)/Sports	Gremlin Interactive	1-2
Actua Soccer 3 (Europe)	Actua Soccer 3	1998	Sports / Football (Soccer)/Sports	Gremlin Interactive	1-2
Actua Tennis (Europe)	Actua Tennis	1998	Sports / Tennis/Sports	Infogrames	1-2
Addie no Okurimono - To Moze from Addie (Japan)	Addie no Okurimono : To Moze from Addie	2000	Adventure/Puzzle	Sony Computer Entertainment	1
Adiboo & Paziral's Secret (Europe) (En,Fr,De,Es,It)	Adiboo & Paziral's Secret	2003	Action / Adventure/Educational/Action	Coktel	1
Adibou et l'Ombre Verte (France)	Adibou Et L'ombre Verte	2001	Educational	Coktel	1
Adidas Power Soccer (USA)	Adidas Power Soccer	1996	Sports / Football (Soccer)/Sports	Psygnosis	1-4
Adidas Power Soccer + Resident Evil + Shellshock + Descent (Europe)	Adidas Power Soccer 98	1998	Sports / Football (Soccer)/Sports	Shen Technologies SARL	1-4
Adidas Power Soccer 2 (Europe) (En,Fr,De,Es,It,Nl)	Adidas Power Soccer 2	1998	Sports / Football (Soccer)/Sports	Shen Technologies SARL	1-2
