#name	crc	size	key
'98 Koushien (Japan) (Demo)	6ab3e4ce	93	'98 Koushien - Koukou Yakyuu Simulation (Japan)
'98 Koushien - Koukou Yakyuu Simulation (Japan)	da95e43a	113	'98 Koushien - Koukou Yakyuu Simulation (Japan)
'99 Koushien (Japan)	05f34aa9	1247	'99 Koushien (Japan)
'99 Koushien (Japan) (Demo)	37954888	587	'99 Koushien (Japan)
'Butagee' de Iinja Nai (Japan)	a9d3ce73	96	'Butagee' de Iinja Nai (Japan)
0 kara no Mahjong - Mahjong Youchien Tamago-gumi (Japan)	65656a80	282	0 kara no Mahjong - Mahjong Youchien Tamago-gumi (Japan)
0 kara no Shougi - Shougi Youchien Ayumi-gumi (Japan)	0c1b55d1	423	0 kara no Shougi - Shougi Youchien Ayumi-gumi (Japan)
007 - Demain ne Meurt Jamais (France)	804de764	103	007 - Demain ne Meurt Jamais (France)
007 - Der Morgen Stirbt Nie (Germany)	5afedf35	103	007 - Der Morgen Stirbt Nie (Germany)
007 - Die Welt Ist Nicht Genug (Germany)	4a7ed159	106	007 - Die Welt Ist Nicht Genug (Germany)
007 - El Mundo Nunca es Suficiente (Spain)	a0760ab7	108	007 - El Mundo Nunca es Suficiente (Spain)
007 - Le Monde ne Suffit Pas (France)	b7873d96	103	007 - Le Monde ne Suffit Pas (France)
007 - The World Is Not Enough (Europe)	7d9fe2b7	104	007 - The World Is Not Enough (USA)
007 - The World Is Not Enough (Sweden)	02fe70a7	104	007 - The World Is Not Enough (USA)
007 - The World Is Not Enough (USA)	adc163bd	101	007 - The World Is Not Enough (USA)
007 - The World Is Not Enough (USA) (Beta) (2000-08-26)	503a4cf6	121	007 - The World Is Not Enough (USA)
007 - Tomorrow Never Dies (Europe)	765606dd	100	007 - Tomorrow Never Dies (USA)
007 - Tomorrow Never Dies (Japan)	424cea74	99	007 - Tomorrow Never Dies (USA)
007 - Tomorrow Never Dies (USA)	dc22c9e3	97	007 - Tomorrow Never Dies (USA)
007 Racing (Europe)	74722fc6	85	007 Racing (USA)
007 Racing (France)	527a9ec3	85	007 Racing (USA)
007 Racing (Germany)	66c0c70d	86	007 Racing (USA)
007 Racing (USA)	5c58d484	82	007 Racing (USA)
1 on 1 (Japan)	77ce8caa	80	1 on 1 (Japan)
1 on 1 (Japan) (Demo)	c9c4b962	87	1 on 1 (Japan)
100 Man Yen Quiz Hunter (Japan)	ccdb145c	97	100 Man Yen Quiz Hunter (Japan)
100% Star (Europe)	5541f00a	206	100% Star (Europe)
100% Star (France)	dd7e7f04	206	100% Star (Europe)
10101 - Will the Starship (Japan)	4b6710c4	1902	10101 - Will the Starship (Japan)
19-ji 03-pun - Ueno-hatsu Yakou Ressha (Japan)	dc9e6ecd	112	19-ji 03-pun - Ueno-hatsu Yakou Ressha (Japan)
19-ji 03-pun - Ueno-hatsu Yakou Ressha (Japan) (Demo)	7e20204f	119	19-ji 03-pun - Ueno-hatsu Yakou Ressha (Japan)
1Xtreme (USA)	fe46298f	700	1Xtreme (USA)
20-seiki Striker Retsuden - The 20th Century's Real Strikers (Japan)	9b7f6ae6	134	Viva Soccer (USA) (En,Fr,De,Es,It,Pt)
2002 FIFA World Cup (Europe) (En,Sv)	0f104a50	102	2002 FIFA World Cup (USA) (En,Es)
2002 FIFA World Cup (France)	faa22c68	94	2002 FIFA World Cup (USA) (En,Es)
2002 FIFA World Cup (Germany)	276c65df	95	2002 FIFA World Cup (USA) (En,Es)
2002 FIFA World Cup (Italy)	dd742bf0	93	2002 FIFA World Cup (USA) (En,Es)
2002 FIFA World Cup (Spain)	8030da28	93	2002 FIFA World Cup (USA) (En,Es)
2002 FIFA World Cup (USA) (En,Es)	ce349b32	99	2002 FIFA World Cup (USA) (En,Es)
2Xtreme (Europe)	4211e6e3	862	2Xtreme (USA)
2Xtreme (USA)	7e95393e	700	2Xtreme (USA)
3, 2, 1, Smurf! My First Racing Game (Europe) (En,Fr,De,Es,It,Nl)	f564283d	131	3, 2, 1, Smurf! My First Racing Game (Europe) (En,Fr,De,Es,It,Nl)
360 Three Sixty (Europe) (En,Fr,De,Es,It,Sv)	22776432	1650	360 Three Sixty (Europe) (En,Fr,De,Es,It,Sv)
3D Baseball (USA)	28127db0	83	3D Baseball (USA)
3D Baseball - The Majors (Japan)	7f0e2929	98	3D Baseball - The Majors (Japan)
3D Kakutou Tkool (Japan)	b49b8f62	218	Fighter Maker (USA)
3D Lemmings (Europe)	51c41b34	2742	3D Lemmings (USA)
3D Lemmings (Japan)	e2404409	2718	3D Lemmings (USA)
3D Lemmings (USA)	b394a6d2	2670	3D Lemmings (USA)
3D Mission Shooting - Finalist (Japan)	483d936e	1977	3D Mission Shooting - Finalist (Japan)
3D Shooting Tkool (Japan)	7fe56b9e	91	3D Shooting Tkool (Japan)
3D-Kaleidoscope - Baby Universe (Japan)	ab7b6ddb	105	Baby Universe (Europe)
3D-Kaleidoscope - Baby Universe (Japan) (Demo)	ea662b9f	112	Baby Universe (Europe)
3Xtreme (USA)	a689937f	196	3Xtreme (USA)
3Xtreme (USA) (Demo)	afd8623e	210	3Xtreme (USA)
3x3 Eyes - Kyuusei Koushu (Japan) (Disc 1)	80542f13	662	3x3 Eyes - Kyuusei Koushu (Japan) (Disc 1)
3x3 Eyes - Kyuusei Koushu (Japan) (Disc 2)	97fbd623	662	3x3 Eyes - Kyuusei Koushu (Japan) (Disc 1)
3x3 Eyes - Tenrin'ou Genmu (Japan) (Disc 1)	1ff1e7d9	109	3x3 Eyes - Tenrin'ou Genmu (Japan) (Disc 1)
3x3 Eyes - Tenrin'ou Genmu (Japan) (Disc 2)	1eacc108	109	3x3 Eyes - Tenrin'ou Genmu (Japan) (Disc 1)
3x3 Eyes - Tenrin'ou Genmu (Japan) (Disc 3)	a8b72178	109	3x3 Eyes - Tenrin'ou Genmu (Japan) (Disc 1)
4-4-2 Soccer (Europe) (En,Fr,De,Es)	66d6bc0d	1802	4-4-2 Soccer (Europe) (En,Fr,De,Es)
40 Winks (Europe)	29f57347	83	40 Winks (USA)
40 Winks (Europe) (Demo)	b254247f	90	40 Winks (USA)
40 Winks (Italy)	8d5e56a7	82	40 Winks (USA)
40 Winks (Spain)	d01aa77f	82	40 Winks (USA)
40 Winks (USA)	1d060c48	80	40 Winks (USA)
4x4 World Trophy (Europe) (En,Fr,De,Es,It)	d4043ac7	108	4x4 World Trophy (Europe) (En,Fr,De,Es,It)
5 Star Racing (Europe)	08e2ba3b	1386	5 Star Racing (Europe)
50 por 15 - Quiere Ser Millonario (Spain)	eee6c366	107	50 por 15 - Quiere Ser Millonario (Spain)
70's Robot Anime - Geppy-X (Japan) (Demo)	98f14030	107	70's Robot Anime - Geppy-X - The Super Boosted Armor (Japan) (Disc 1)
70's Robot Anime - Geppy-X - The Super Boosted Armor (Japan) (Disc 1)	de54e69b	135	70's Robot Anime - Geppy-X - The Super Boosted Armor (Japan) (Disc 1)
70's Robot Anime - Geppy-X - The Super Boosted Armor (Japan) (Disc 2)	df09c04a	135	70's Robot Anime - Geppy-X - The Super Boosted Armor (Japan) (Disc 1)
70's Robot Anime - Geppy-X - The Super Boosted Armor (Japan) (Disc 3)	6912203a	135	70's Robot Anime - Geppy-X - The Super Boosted Armor (Japan) (Disc 1)
70's Robot Anime - Geppy-X - The Super Boosted Armor (Japan) (Disc 4)	ddb38de8	135	70's Robot Anime - Geppy-X - The Super Boosted Armor (Japan) (Disc 1)
A Ressha de Ikou 4 - Evolution (Japan)	6685a10d	104	A Ressha de Ikou 4 - Evolution (Japan)
A Ressha de Ikou 4 - Evolution (Japan) (Gentei Set)	b1872bc1	117	A Ressha de Ikou 4 - Evolution (Japan)
A Ressha de Ikou 4 - Evolution (Japan) (Rev 1)	e54fc39f	112	A Ressha de Ikou 4 - Evolution (Japan)
