#key	style	ss_system_id
'98 Koushien - Koukou Yakyuu Simulation (Japan)	box-2D	57
'99 Koushien (Japan)	box-2D	57
'Butagee' de Iinja Nai (Japan)	box-2D	57
0 kara no Mahjong - Mahjong Youchien Tamago-gumi (Japan)	box-2D	57
0 kara no Shougi - Shougi Youchien Ayumi-gumi (Japan)	box-2D	57
007 - Demain ne Meurt Jamais (France)	box-2D	57
007 - Der Morgen Stirbt Nie (Germany)	box-2D	57
007 - Die Welt Ist Nicht Genug (Germany)	box-2D	57
007 - El Mundo Nunca es Suficiente (Spain)	box-2D	57
007 - Le Monde ne Suffit Pas (France)	box-2D	57
007 - The World Is Not Enough (USA)	box-2D	57
007 - Tomorrow Never Dies (USA)	box-2D	57
007 Racing (USA)	box-2D	57
1 on 1 (Japan)	box-2D	57
100 Man Yen Quiz Hunter (Japan)	box-2D	57
100% Star (Europe)	box-2D	57
10101 - Will the Starship (Japan)	box-2D	57
19-ji 03-pun - Ueno-hatsu Yakou Ressha (Japan)	box-2D	57
1Xtreme (USA)	box-2D	57
2002 FIFA World Cup (USA) (En,Es)	box-2D	57
2Xtreme (USA)	box-2D	57
3, 2, 1, Smurf! My First Racing Game (Europe) (En,Fr,De,Es,It,Nl)	box-2D	57
360 Three Sixty (Europe) (En,Fr,De,Es,It,Sv)	box-2D	57
3D Baseball (USA)	box-2D	57
3D Baseball - The Majors (Japan)	box-2D	57
3D Lemmings (USA)	box-2D	57
3D Mission Shooting - Finalist (Japan)	box-2D	57
3D Shooting Tkool (Japan)	box-2D	57
3Xtreme (USA)	box-2D	57
3x3 Eyes - Kyuusei Koushu (Japan) (Disc 1)	box-2D	57
3x3 Eyes - Tenrin'ou Genmu (Japan) (Disc 1)	box-2D	57
4-4-2 Soccer (Europe) (En,Fr,De,Es)	box-2D	57
40 Winks (USA)	box-2D	57
4x4 World Trophy (Europe) (En,Fr,De,Es,It)	box-2D	57
5 Star Racing (Europe)	box-2D	57
50 por 15 - Quiere Ser Millonario (Spain)	box-2D	57
70's Robot Anime - Geppy-X - The Super Boosted Armor (Japan) (Disc 1)	box-2D	57
A Ressha de Ikou 4 - Evolution (Japan)	box-2D	57
A Ressha de Ikou Z - Mezase! Tairiku Oudan (Japan)	box-2D	57
A Sangre Fria (Spain) (Disc 1)	box-2D	57
A-Train - Trains, Power, Money (USA) (En,Ja,Fr,De)	box-2D	57
A.IV - Evolution Global (Europe) (En,Ja,Fr,De)	box-2D	57
A2 Racer - Europa Tour (Netherlands)	box-2D	57
A5 - A Ressha de Ikou 5 (Japan, Asia)	box-2D	57
AFL 99 (Australia)	box-2D	57
AI Mahjong 2000 (Japan)	box-2D	57
AI Mahjong Selection (Japan)	box-2D	57
AI Shougi (Japan)	box-2D	57
AI Shougi 2 (Japan)	box-2D	57
AI Shougi 2 Deluxe (Japan)	box-2D	57
AI Shougi Selection (Japan)	box-2D	57
ATV - Quad Power Racing (USA)	box-2D	57
ATV Mania (USA)	box-2D	57
ATV Racers (USA)	box-2D	57
AbalaBurn (Japan)	box-2D	57
Abe a GoGo (Japan)	box-2D	57
Absolute Football (France) (En,Fr,De,Es,It,Pt)	box-2D	57
Ace Combat (Japan)	box-2D	57
Ace Combat 2 (USA)	box-2D	57
Ace Combat 3 - Electrosphere (USA)	box-2D	57
Aces of the Air (USA)	box-2D	57
Acid (Japan)	box-2D	57
Aconcagua (Japan) (Disc 1)	box-2D	57
Action Bass (USA)	box-2D	57
Action Man - Destruction X (Europe) (En,Fr,De,Es,It)	box-2D	57
Action Man - Mission Xtreme (Europe) (En,Fr,De,Es,It,Nl,Sv,No,Da,Fi)	box-2D	57
Action Man - Operation Extreme (USA)	box-2D	57
Activision Classics (USA)	box-2D	57
Actua Golf (Europe) (En,Fr,De)	box-2D	57
Actua Golf 2 (Europe)	box-2D	57
Actua Golf 3 (Europe)	box-2D	57
Actua Ice Hockey (Europe) (En,Fr,De,Sv,Fi)	box-2D	57
Actua Ice Hockey 2 (Europe)	box-2D	57
