#key	synopsis
'98 Koushien (Japan) (Demo)	'98 Koshien ist ein 3D-Baseballspiel mit verschiedenen Spielmodi, darunter Vs- und Story-Modus. Das Spiel konzentriert sich auf die High School Baseball Turniere und hat Daten von mehr als 4129 japanischen High Schools. Das Spiel bietet verschiedene Baseball-Strategien und -Taktiken. Das Spiel ermöglicht es dem Spieler, seine Spieler und deren Teamwork zu trainieren. Das Ziel des Spiels ist es, die Koshien-Baseball-Meisterschaft '98 zu gewinnen. Das Spiel ermöglicht es dem Spieler auch, das Teamlogo, die Schulhymne oder die Teamuniformen zu bearbeiten.
'98 Koushien - Koukou Yakyuu Simulation (Japan)	'98 Koshien ist ein 3D-Baseballspiel mit verschiedenen Spielmodi, darunter Vs- und Story-Modus. Das Spiel konzentriert sich auf die High School Baseball Turniere und hat Daten von mehr als 4129 japanischen High Schools. Das Spiel bietet verschiedene Baseball-Strategien und -Taktiken. Das Spiel ermöglicht es dem Spieler, seine Spieler und deren Teamwork zu trainieren. Das Ziel des Spiels ist es, die Koshien-Baseball-Meisterschaft '98 zu gewinnen. Das Spiel ermöglicht es dem Spieler auch, das Teamlogo, die Schulhymne oder die Teamuniformen zu bearbeiten.
'99 Koushien (Japan)	'99 Koshien ist ein 3D-Baseballspiel mit Cartoon-Grafik und verschiedenen Spielmodi, darunter Vs- und Story-Modus. Das Spiel ist die Fortsetzung von '98 Koshien. In diesem Spiel kann der Spieler die Schulflagge, die Hymne, das Emblem, die Uniformen usw. seines Teams ändern. Das Spiel bietet eine realistischere Ballsimulation und mehr Cartoon-Grafiken als '98 Koshien. Das Spiel bietet 84 verschiedene Taktiken. Der Ansager wird die Heimmannschaft unterstützen und der Spieler muss andere Schulen Japans besiegen.
'Butagee' de Iinja Nai (Japan)	Butage - Deiin Janai (alias &quot;Butagee&quot; de Iin Janai?) ist ein Zuchtsimulationsspiel, in dem der Spieler ein Schweinetrainer ist und im Story-Modus 11 verschiedene Schweine (männlich und weiblich) bekommt, um eines davon auszuwählen und mit verschiedenen Methoden (wie Boxen, Gewichtheben, Laufen usw.) zu trainieren, um das schnellstes Schwein des Landes zu werden.
0 kara no Shougi - Shougi Youchien Ayumi-gumi (Japan)	0 Kara no Shogi - Shogi Youchien Ayumi-Gumi ist ein Shogi-Spiel, das 5 verschiedene Arten von Brettern, ein komplettes Tutorial und ein Wörterbuch in japanischer Sprache, sowie verschiedene vs-Modi (auch ein 2-Spieler-VS-Modus) und eine Art Kampfmodus bietet, in dem der Spieler vor dem Besiegen von Gegnern vorrückt und das Spiel 10 verschiedene Gegner hat.
007 - Demain ne Meurt Jamais (France)	Setze als weltmännischer Geheimagent 007 Dein Köpfchen und Deine High-Tech-Geräte ein, um Dich durch die vielen Spionage-Level zu kämpfen. Die Story beruht auf den spannenden Szenen des erfolgreichen Kinofilms, es gibt z.B. Schieß-, Fahr- und Ski-Modi. Deine Mission ist zwar gefährlich, aber Du kannst es schaffen. Immerhin bist Du Bond...James Bond. FEATURES: - Viele verschiedene Spielmodi - Schießen, Auto fahren und Ski fahren - Typische Bond-Waffen und -Geräte - Manschettenknopf-Laser, Infrarot-Kameras und vieles mehr - 10 Missionen und Orte wie im Original-Film - Viele verschiedene Kampftechniken - Nahkampf-, Feuer- und Tarnangriffe - Brandneue Story mit Videosequenzen und Filmausschnitten
007 - Der Morgen Stirbt Nie (Germany)	Setze als weltmännischer Geheimagent 007 Dein Köpfchen und Deine High-Tech-Geräte ein, um Dich durch die vielen Spionage-Level zu kämpfen. Die Story beruht auf den spannenden Szenen des erfolgreichen Kinofilms, es gibt z.B. Schieß-, Fahr- und Ski-Modi. Deine Mission ist zwar gefährlich, aber Du kannst es schaffen. Immerhin bist Du Bond...James Bond. FEATURES: - Viele verschiedene Spielmodi - Schießen, Auto fahren und Ski fahren - Typische Bond-Waffen und -Geräte - Manschettenknopf-Laser, Infrarot-Kameras und vieles mehr - 10 Missionen und Orte wie im Original-Film - Viele verschiedene Kampftechniken - Nahkampf-, Feuer- und Tarnangriffe - Brandneue Story mit Videosequenzen und Filmausschnitten
007 - Die Welt Ist Nicht Genug (Germany)	Schlüpfe in die spannende Rolle einer der weltbesten Top-Agenten. Du bist von Q ausgestattet mit einem kompletten Arsenal an Geräten und Waffen und du musst clever und mit Stil und Durchsetzungsvermögen agieren, denn dich erwarten auf dem Film basierende gefährliche Missionen. Bleibst Du auch unter Druck cool? Kannst du, wenn nötig, richtig durchgreifen? Natürlich kannst du das - du bist schließlich Bond. James Bond.
007 - El Mundo Nunca es Suficiente (Spain)	Schlüpfe in die spannende Rolle einer der weltbesten Top-Agenten. Du bist von Q ausgestattet mit einem kompletten Arsenal an Geräten und Waffen und du musst clever und mit Stil und Durchsetzungsvermögen agieren, denn dich erwarten auf dem Film basierende gefährliche Missionen. Bleibst Du auch unter Druck cool? Kannst du, wenn nötig, richtig durchgreifen? Natürlich kannst du das - du bist schließlich Bond. James Bond.
007 - Le Monde ne Suffit Pas (France)	Schlüpfe in die spannende Rolle einer der weltbesten Top-Agenten. Du bist von Q ausgestattet mit einem kompletten Arsenal an Geräten und Waffen und du musst clever und mit Stil und Durchsetzungsvermögen agieren, denn dich erwarten auf dem Film basierende gefährliche Missionen. Bleibst Du auch unter Druck cool? Kannst du, wenn nötig, richtig durchgreifen? Natürlich kannst du das - du bist schließlich Bond. James Bond.
007 - The World Is Not Enough (USA)	Schlüpfe in die spannende Rolle einer der weltbesten Top-Agenten. Du bist von Q ausgestattet mit einem kompletten Arsenal an Geräten und Waffen und du musst clever und mit Stil und Durchsetzungsvermögen agieren, denn dich erwarten auf dem Film basierende gefährliche Missionen. Bleibst Du auch unter Druck cool? Kannst du, wenn nötig, richtig durchgreifen? Natürlich kannst du das - du bist schließlich Bond. James Bond.
007 - Tomorrow Never Dies (USA)	Setze als weltmännischer Geheimagent 007 Dein Köpfchen und Deine High-Tech-Geräte ein, um Dich durch die vielen Spionage-Level zu kämpfen. Die Story beruht auf den spannenden Szenen des erfolgreichen Kinofilms, es gibt z.B. Schieß-, Fahr- und Ski-Modi. Deine Mission ist zwar gefährlich, aber Du kannst es schaffen. Immerhin bist Du Bond...James Bond. FEATURES: - Viele verschiedene Spielmodi - Schießen, Auto fahren und Ski fahren - Typische Bond-Waffen und -Geräte - Manschettenknopf-Laser, Infrarot-Kameras und vieles mehr - 10 Missionen und Orte wie im Original-Film - Viele verschiedene Kampftechniken - Nahkampf-, Feuer- und Tarnangriffe - Brandneue Story mit Videosequenzen und Filmausschnitten
007 Racing (USA)	Dein Name ist Bond - James Bond und Du hast speziell ausgerüstete lizenzierte Autos aus dem Bond-Universum, die mit Waffen und Gadgets ausgestattet wurden. James Bond 007 Racing für PS1 liefert Spielern eine einzigartige Erfahrung mit mehr als 15 Missionen, in denen Verfolgungsjagten, Ausweichmanöver und viel Action zu finden ist. Erlebe Deine persönlichen Bond-Momente und meistere in James Bond 007 Racing für PS1 eine ganz neue Story, die durch die Szenen und Momente der unvergesslichen Bond-Filmen inspiriert ist. Zum Glück wirst Du auch von berühmten Figuren aus den Bond-Filmen unterstützt.
1 on 1 (Japan)	1 on 1 ist, wie der Name schon sagt, ein 1 gegen 1 Basketballspiel, das auf dem Halbplatz mit nur einem Korb gespielt wird. Das Spiel wird über zwei Runden gespielt oder bis einer der Spieler 11 Punkte erreicht. Die Spieler sind abwechselnd in der Offensive und in der Defensive. Wenn der Abwehrspieler erfolgreich den Ball vom Angriffsspieler stiehlt, wechseln sie die Position. Das Spiel selbst ist in vollem 3D, aber die Steuerung ähnelt eher einem 2D-Spiel ohne Bewegungstiefe. Es stehen 8 verschiedene Charaktere zur Auswahl, jeder mit seinen eigenen Spezialfähigkeiten und unterschiedlichem Aussehen. Die Spielmodi umfassen einen Versus-Modus und einen Minispielabschnitt mit verschiedenen Basketball-bezogenen Minispielen.
100 Man Yen Quiz Hunter (Japan)	100 Manyen Quiz Hunter ist ein Playstation-Quizspiel, das auf einer 30-minütigen japanischen TV-Show mit dem gleichen Namen basiert. Das Spiel bietet 2 Modi: Den Hauptquizmodus und den MQR-Viewer, in dem die Spieler die Preise sehen können, die sie im Hauptspiel gewonnen haben.
