#key	synopsis
'98 Koushien (Japan) (Demo)	'98 Koshien is a 3D baseball game with different game modes that includes vs and story mode. The game focus in the high school baseball tournaments and got data of more than 4129 japanese high schools. The game features different baseball strategies and tactics.The game allows the player to train his players and their teamwork. The goal of the game is to win the '98 Koshien Baseball championship. The game also allows the player to edit the team logo, school hymn or the team uniforms.
'98 Koushien - Koukou Yakyuu Simulation (Japan)	'98 Koshien is a 3D baseball game with different game modes that includes vs and story mode. The game focus in the high school baseball tournaments and got data of more than 4129 japanese high schools. The game features different baseball strategies and tactics.The game allows the player to train his players and their teamwork. The goal of the game is to win the '98 Koshien Baseball championship. The game also allows the player to edit the team logo, school hymn or the team uniforms.
'99 Koushien (Japan)	'99 Koshien is a 3D baseball game with cartoon graphics and different game modes that includes vs and story mode. The game is the sequel to '98 Koshien. In this game the player can change the school flag, song, emblens, uniforms, etc of his team. The game features a more realistic ball simulation and more cartoon graphics than '98 Koshien. The game features 84 different tactics. The announcer will support the home team and the player will have to defeat other schools of Japan. New camera angles that gives a closer view of all the game situations. The game allows the player to design the character.
'Butagee' de Iinja Nai (Japan)	Butage - Deiin Janai (aka &quot;Butagee&quot; de Iin Janai?) is a breeding simulation game in which the player is a pig trainer and got 11 different pigs (male and female ones) in the story mode to choose one of them and train it with different trainings (like boxing, weightlighting, running, etc) to improve the pig stats and when he thinks that the pig is ready he can take him (or her) to different race tournaments in which the pig will compete with others to become the fastest pig in the country. During each week the player can choose the different trainings, let the pig have fun (listening to the radio, watching tv, playing games, etc) or go with him to the shop and buy different meals to improve the pig stats and make the pig life more confortable. The game features also a vs mode in which the player can load his pigs from the memory card and compete in the different tournaments vs another human player.
0 kara no Mahjong - Mahjong Youchien Tamago-gumi (Japan)	Mahjong Youchien - Tamago-Gumi is a mahjong game specially designed for young players to learn how to play mahjong. The game features different game modes and a lot of different computer player to play against. The game got a sequel called Mahjong Youchien - Tamago-Gumi 2.
0 kara no Shougi - Shougi Youchien Ayumi-gumi (Japan)	0 Kara no Shogi - Shogi Youchien Ayumi-Gumi is a shogi game that features 5 different kind of boards, a complete tutorial and a dictionary in japanese language, different vs modes (also a 2 players vs mode), a sort of a battle mode in which the player advance defeating opponents and the game has 10 different opponents.
007 - Demain ne Meurt Jamais (France)	In 007: Tomorrow Never Dies, which is based on the movie of the same name, the player takes the role of the famous James Bond who fights against Elliot Carver. Carver tries to increase his TV ratings by creating a war between the British and the Chinese. To achieve his goal he sunk a British ship with his stealth ship and made it look like the Chinese Air Force was the offender. Now it is Bond's responsibility to set things right...
007 - Der Morgen Stirbt Nie (Germany)	In 007: Tomorrow Never Dies, which is based on the movie of the same name, the player takes the role of the famous James Bond who fights against Elliot Carver. Carver tries to increase his TV ratings by creating a war between the British and the Chinese. To achieve his goal he sunk a British ship with his stealth ship and made it look like the Chinese Air Force was the offender. Now it is Bond's responsibility to set things right...
007 - Die Welt Ist Nicht Genug (Germany)	Based on the 1999 film, 007: The World is Not Enough follows Pierce Brosnan's Bond as he investigates the murder of an oil tycoon and a pipeline conspiracy. This version differs significantly from the Nintendo 64 release. It runs on a version of the Medal of Honor engine and has 11 missions rather than 14 (some not shared with n64). Missions shared between platforms often play out differently, utilizing unique gadgets and weaponry. Unlike the N64 version, higher difficulty modes do not add extra objectives; instead, specific mission completions at high difficulties unlock cheats. However, this edition includes CD-quality music, full voice acting, and FMV movie clips for cutscenes. Note that this version is strictly single-player and contains no multiplayer component.
007 - El Mundo Nunca es Suficiente (Spain)	Based on the 1999 film, 007: The World is Not Enough follows Pierce Brosnan's Bond as he investigates the murder of an oil tycoon and a pipeline conspiracy. This version differs significantly from the Nintendo 64 release. It runs on a version of the Medal of Honor engine and has 11 missions rather than 14 (some not shared with n64). Missions shared between platforms often play out differently, utilizing unique gadgets and weaponry. Unlike the N64 version, higher difficulty modes do not add extra objectives; instead, specific mission completions at high difficulties unlock cheats. However, this edition includes CD-quality music, full voice acting, and FMV movie clips for cutscenes. Note that this version is strictly single-player and contains no multiplayer component.
007 - Le Monde ne Suffit Pas (France)	Based on the 1999 film, 007: The World is Not Enough follows Pierce Brosnan's Bond as he investigates the murder of an oil tycoon and a pipeline conspiracy. This version differs significantly from the Nintendo 64 release. It runs on a version of the Medal of Honor engine and has 11 missions rather than 14 (some not shared with n64). Missions shared between platforms often play out differently, utilizing unique gadgets and weaponry. Unlike the N64 version, higher difficulty modes do not add extra objectives; instead, specific mission completions at high difficulties unlock cheats. However, this edition includes CD-quality music, full voice acting, and FMV movie clips for cutscenes. Note that this version is strictly single-player and contains no multiplayer component.
