#key	synopsis
'98 Koushien (Japan) (Demo)	'98 Koshien es un juego de béisbol 3D con diferentes modos de juego que incluye vs y modo de historia. El juego se centra en los torneos de béisbol de la escuela secundaria y obtuvo datos de más de 4129 escuelas secundarias japonesas. El juego cuenta con diferentes estrategias de béisbol y tácticas. El juego permite a los jugadores entrenar a sus jugadores y su trabajo en equipo. El objetivo del juego es ganar el campeonato de béisbol de 1998 Koshien. El juego también permite al jugador editar el logo del equipo, el himno de la escuela o los uniformes del equipo.
'98 Koushien - Koukou Yakyuu Simulation (Japan)	'98 Koshien es un juego de béisbol 3D con diferentes modos de juego que incluye vs y modo de historia. El juego se centra en los torneos de béisbol de la escuela secundaria y obtuvo datos de más de 4129 escuelas secundarias japonesas. El juego cuenta con diferentes estrategias de béisbol y tácticas. El juego permite a los jugadores entrenar a sus jugadores y su trabajo en equipo. El objetivo del juego es ganar el campeonato de béisbol de 1998 Koshien. El juego también permite al jugador editar el logo del equipo, el himno de la escuela o los uniformes del equipo.
'99 Koushien (Japan)	'99 Koshien es un juego de Baseball en 3D con gráficos tipo cartoon y diferentes modos de juegos incluyendo modo jugador contra jugador y un modo historia. Es la secuela del juego '98 Koshien. El jugador tiene la posibilidad de cambiar la bandera de la escuela, canción, emblemas, uniformes y demás características de su equipo. Entre las características del juego están una simulación más realista del balón y mejores gráficos que su predecesor. El juego cuenta con un total de 84 tácticas diferentes. El comentarista siempre apoyará al equipo de casa y el objetivo del jugador es vencer a las otras escuelas de Japón. Nuevos ángulos de cámara otorgan al jugador una perspectiva más cercana de lo que está ocurriendo en el juego. Además permite al jugador crear y diseñar su propio personaje.
'Butagee' de Iinja Nai (Japan)	Butage - Deiin Janai es un juego de simulación de cría, en el que el jugador es un entrenador de cerdos y tiene 11 cerdos diferentes (machos y hembras) en el modo historia para elegir uno de ellos y entrenarlo. con diferentes entrenamientos (como boxeo, levantamiento de pesas, carrera, etc.) para mejorar las estadísticas del cerdo y cuando crea que el cerdo está listo, puede llevarlo a diferentes torneos de carreras en los que el cerdo competirá con otros para convertirse en el El cerdo más rápido del país. Durante cada semana, el jugador puede elegir los diferentes entrenamientos, dejar que el cerdo se divierta (escuchando la radio, viendo televisión, jugando, etc.) o ir con él a la tienda y comprar diferentes comidas para mejorar las estadísticas del cerdo y hacer que el cerdo se divierta. vida más cómoda. El juego también presenta un modo vs en el que el jugador puede cargar sus cerdos desde la tarjeta de memoria y competir en diferentes torneos contra otro jugador humano.
0 kara no Shougi - Shougi Youchien Ayumi-gumi (Japan)	0 Kara no Shogi - Shogi Youchien Ayumi-Gumi es un juego de shogi (Ajedrez japonés) que presenta 5 tipos diferentes de tableros, un tutorial completo y un diccionario en idioma japonés, diferentes modos versus (también un modo 2 jugadores versus), una especie de modo de batalla en el que el jugador avanza derrotando oponentes y el juego tiene 10 oponentes diferentes.
007 - Demain ne Meurt Jamais (France)	En 007: El Mañana Nunca Muere, basado en la película del mismo nombre, el jugador toma el papel del famoso James Bond que lucha contra Elliot Carver. Carver intenta aumentar sus calificaciones de televisión creando una guerra entre los británicos y los chinos. Para lograr su objetivo, hunde un buque británico con su nave furtiva haciendo parecer que la Fuerza Aérea de China es responsable. Ahora es la responsabilidad de Bond resolver las cosas...
007 - Der Morgen Stirbt Nie (Germany)	En 007: El Mañana Nunca Muere, basado en la película del mismo nombre, el jugador toma el papel del famoso James Bond que lucha contra Elliot Carver. Carver intenta aumentar sus calificaciones de televisión creando una guerra entre los británicos y los chinos. Para lograr su objetivo, hunde un buque británico con su nave furtiva haciendo parecer que la Fuerza Aérea de China es responsable. Ahora es la responsabilidad de Bond resolver las cosas...
007 - Die Welt Ist Nicht Genug (Germany)	Experimenta la intensidad de ser el agente secreto más importante del mundo. Equipado con un arsenal completo de gadgets Q-Lab y armamento, debes ser suave e ingenioso al llevar a cabo misiones llenas de acción sobre la base de la película de éxito de taquilla.
007 - El Mundo Nunca es Suficiente (Spain)	Experimenta la intensidad de ser el agente secreto más importante del mundo. Equipado con un arsenal completo de gadgets Q-Lab y armamento, debes ser suave e ingenioso al llevar a cabo misiones llenas de acción sobre la base de la película de éxito de taquilla.
007 - Le Monde ne Suffit Pas (France)	Experimenta la intensidad de ser el agente secreto más importante del mundo. Equipado con un arsenal completo de gadgets Q-Lab y armamento, debes ser suave e ingenioso al llevar a cabo misiones llenas de acción sobre la base de la película de éxito de taquilla.
