#key	synopsis
'98 Koushien (Japan) (Demo)	'98 Koshien est un jeu de baseball 3D avec différents modes de jeu qui comprend le mode vs et le mode histoire. Le jeu s'est concentré sur les tournois de baseball au lycée et a obtenu des données de plus de 4 129 lycées japonais. Le jeu propose différentes stratégies et tactiques de baseball et permet au joueur d'entraîner ses joueurs et leur travail d'équipe. Le but du jeu est de remporter le championnat Koshien Baseball '98. Vous pouvez également éditer le logo de l'équipe, l'hymne scolaire ou les uniformes de l'équipe.
'98 Koushien - Koukou Yakyuu Simulation (Japan)	'98 Koshien est un jeu de baseball 3D avec différents modes de jeu qui comprend le mode vs et le mode histoire. Le jeu s'est concentré sur les tournois de baseball au lycée et a obtenu des données de plus de 4 129 lycées japonais. Le jeu propose différentes stratégies et tactiques de baseball et permet au joueur d'entraîner ses joueurs et leur travail d'équipe. Le but du jeu est de remporter le championnat Koshien Baseball '98. Vous pouvez également éditer le logo de l'équipe, l'hymne scolaire ou les uniformes de l'équipe.
'99 Koushien (Japan)	'99 Koshien est un jeu de baseball 3D avec des graphismes de dessins animés et différents modes de jeu qui comprend le mode vs et le mode histoire. Le jeu est la suite de '98 Koshien. Dans ce jeu, le joueur peut changer le drapeau de l'école, la chanson, les emblèmes, les uniformes, etc. de son équipe. Le jeu propose une simulation de balle plus réaliste en plus des graphismes de dessins animés que Koshien 1998 n'avait pas. Le jeu comporte 84 tactiques différentes. L'annonceur soutiendra l'équipe locale et le joueur devra vaincre les autres écoles du Japon. De nouveaux angles de caméra donnant une vue plus précise de toutes les situations de jeu. Le jeu permet au joueur de concevoir le personnage.
'Butagee' de Iinja Nai (Japan)	Les simulations hippiques vous ennuient ? Alors pourquoi ne pas tenter la simulation de course de porcs ? Aussi barré que sa jaquette, Butagee propose d'entraîner son cochon (mâle ou femelle), de lui faire écouter la radio, regarder la télé, faire les boutiques ou acheter à manger pour améliorer ses statistiques afin d'arriver premier aux courses. Folle et originale, voilà une simulation qui mérite le détour !
0 kara no Mahjong - Mahjong Youchien Tamago-gumi (Japan)	Mahjong Youchien - Tamago-Gumi est un jeu de mahjong spécialement conçu pour que les jeunes joueurs apprennent à jouer au mahjong. Le jeu propose différents modes de jeu et un grand nombre de joueurs contre l'ordinateur. Le jeu a une suite appelée Mahjong Youchien - Tamago-Gumi 2.
0 kara no Shougi - Shougi Youchien Ayumi-gumi (Japan)	0 Kara no shogi - shogi Youchien Ayumi-Gumi est un jeu de shogi qui comprend 5 types différents de planches, un tutoriel complet et un dictionnaire en japonais, différents modes vs (aussi un 2 joueurs vs mode), une sorte de mode de bataille dans lequel le joueur avance en battant les adversaires et le jeu a 10 adversaires différents.
007 - Demain ne Meurt Jamais (France)	Demain Ne Meurt Jamais est un jeu d'action sorti sur Playstation. Retrouvez l'agent le moins secret de Sa Majesté dans cette adaptation du film du même nom. Au programme de l'action, des gadgets, des voitures de rêve et de fabuleuses James Bond Girls.
007 - Der Morgen Stirbt Nie (Germany)	Demain Ne Meurt Jamais est un jeu d'action sorti sur Playstation. Retrouvez l'agent le moins secret de Sa Majesté dans cette adaptation du film du même nom. Au programme de l'action, des gadgets, des voitures de rêve et de fabuleuses James Bond Girls.
007 - Die Welt Ist Nicht Genug (Germany)	007 : Le monde ne suffit pas est basé sur le film de James Bond de 1999 portant le même nom. Dans ce film, le Bond incarné par Pierce Brosnan doit enquêter sur le meurtre d'un magnat britannique du pétrole et sur des attaques visant son nouvel oléoduc, ce qui conduit à un complot plus sinistre nécessitant des coups de feu et des miles de voyageur fréquent pour être désamorcé. Cette version du jeu présente quelques différences notables par rapport à son homologue de la Nintendo 64 : elle fonctionne avec une version du moteur de Medal of Honor et comporte 11 missions, contre 14 pour la N64, dont certaines ne sont pas partagées entre les deux. Les missions qui se ressemblent (généralement celles tirées du film) ont tendance à se dérouler différemment et à utiliser des gadgets et des armes complètement différents. Cette version ne propose pas d'objectifs supplémentaires dans les modes de difficulté plus élevés, et seuls les cheats sont débloqués en terminant des missions spécifiques dans une difficulté spécifique. Cependant, elle propose des musiques et des voix de qualité CD, ainsi que des clips vidéo du film pour les scènes de coupure. Il s'agit d'un jeu solo, qui ne comporte pas de composante multijoueur.
007 - El Mundo Nunca es Suficiente (Spain)	007 : Le monde ne suffit pas est basé sur le film de James Bond de 1999 portant le même nom. Dans ce film, le Bond incarné par Pierce Brosnan doit enquêter sur le meurtre d'un magnat britannique du pétrole et sur des attaques visant son nouvel oléoduc, ce qui conduit à un complot plus sinistre nécessitant des coups de feu et des miles de voyageur fréquent pour être désamorcé. Cette version du jeu présente quelques différences notables par rapport à son homologue de la Nintendo 64 : elle fonctionne avec une version du moteur de Medal of Honor et comporte 11 missions, contre 14 pour la N64, dont certaines ne sont pas partagées entre les deux. Les missions qui se ressemblent (généralement celles tirées du film) ont tendance à se dérouler différemment et à utiliser des gadgets et des armes complètement différents. Cette version ne propose pas d'objectifs supplémentaires dans les modes de difficulté plus élevés, et seuls les cheats sont débloqués en terminant des missions spécifiques dans une difficulté spécifique. Cependant, elle propose des musiques et des voix de qualité CD, ainsi que des clips vidéo du film pour les scènes de coupure. Il s'agit d'un jeu solo, qui ne comporte pas de composante multijoueur.
007 - Le Monde ne Suffit Pas (France)	007 : Le monde ne suffit pas est basé sur le film de James Bond de 1999 portant le même nom. Dans ce film, le Bond incarné par Pierce Brosnan doit enquêter sur le meurtre d'un magnat britannique du pétrole et sur des attaques visant son nouvel oléoduc, ce qui conduit à un complot plus sinistre nécessitant des coups de feu et des miles de voyageur fréquent pour être désamorcé. Cette version du jeu présente quelques différences notables par rapport à son homologue de la Nintendo 64 : elle fonctionne avec une version du moteur de Medal of Honor et comporte 11 missions, contre 14 pour la N64, dont certaines ne sont pas partagées entre les deux. Les missions qui se ressemblent (généralement celles tirées du film) ont tendance à se dérouler différemment et à utiliser des gadgets et des armes complètement différents. Cette version ne propose pas d'objectifs supplémentaires dans les modes de difficulté plus élevés, et seuls les cheats sont débloqués en terminant des missions spécifiques dans une difficulté spécifique. Cependant, elle propose des musiques et des voix de qualité CD, ainsi que des clips vidéo du film pour les scènes de coupure. Il s'agit d'un jeu solo, qui ne comporte pas de composante multijoueur.
007 - The World Is Not Enough (USA)	007 : Le monde ne suffit pas est basé sur le film de James Bond de 1999 portant le même nom. Dans ce film, le Bond incarné par Pierce Brosnan doit enquêter sur le meurtre d'un magnat britannique du pétrole et sur des attaques visant son nouvel oléoduc, ce qui conduit à un complot plus sinistre nécessitant des coups de feu et des miles de voyageur fréquent pour être désamorcé. Cette version du jeu présente quelques différences notables par rapport à son homologue de la Nintendo 64 : elle fonctionne avec une version du moteur de Medal of Honor et comporte 11 missions, contre 14 pour la N64, dont certaines ne sont pas partagées entre les deux. Les missions qui se ressemblent (généralement celles tirées du film) ont tendance à se dérouler différemment et à utiliser des gadgets et des armes complètement différents. Cette version ne propose pas d'objectifs supplémentaires dans les modes de difficulté plus élevés, et seuls les cheats sont débloqués en terminant des missions spécifiques dans une difficulté spécifique. Cependant, elle propose des musiques et des voix de qualité CD, ainsi que des clips vidéo du film pour les scènes de coupure. Il s'agit d'un jeu solo, qui ne comporte pas de composante multijoueur.
007 - Tomorrow Never Dies (USA)	Demain Ne Meurt Jamais est un jeu d'action sorti sur Playstation. Retrouvez l'agent le moins secret de Sa Majesté dans cette adaptation du film du même nom. Au programme de l'action, des gadgets, des voitures de rêve et de fabuleuses James Bond Girls.
