#key	synopsis
'98 Koushien (Japan) (Demo)	'98 Koshien é um jogo de beisebol 3D com diferentes modos de jogo que inclui vs e modo de história. O foco do jogo nos torneios de beisebol do ensino médio e obteve dados de mais de 4129 escolas secundárias japonesas. O jogo apresenta diferentes estratégias e táticas de beisebol.O jogo permite ao jogador treinar seus jogadores e seu trabalho em equipe. O objetivo do jogo é ganhar o campeonato de beisebol Koshien 98. O jogo também permite que o jogador edite o logotipo da equipe, o hino da escola ou os uniformes da equipe.
'98 Koushien - Koukou Yakyuu Simulation (Japan)	'98 Koshien é um jogo de beisebol 3D com diferentes modos de jogo que inclui vs e modo de história. O foco do jogo nos torneios de beisebol do ensino médio e obteve dados de mais de 4129 escolas secundárias japonesas. O jogo apresenta diferentes estratégias e táticas de beisebol.O jogo permite ao jogador treinar seus jogadores e seu trabalho em equipe. O objetivo do jogo é ganhar o campeonato de beisebol Koshien 98. O jogo também permite que o jogador edite o logotipo da equipe, o hino da escola ou os uniformes da equipe.
'99 Koushien (Japan)	'99 Koshien é um jogo de beisebol 3D com gráficos de desenhos animados e diferentes modos de jogo que inclui vs e modo de história. O jogo é a sequela de '98 Koshien. Neste jogo, o jogador pode mudar a bandeira da escola, canção, emblens, uniformes, etc de sua equipe. O jogo apresenta uma simulação de bola mais realista e mais desenhos animados gráficos do que '98 Koshien. O jogo apresenta 84 táticas diferentes. O anunciante apoiará o time da casa e o jogador terá que derrotar outras escolas do Japão. Novos ângulos de câmera que dá uma visão mais próxima de todas as situações do jogo. O jogo permite que o jogador para projetar o personagem.
'Butagee' de Iinja Nai (Japan)	Butage - Deiin Janai (também conhecido como &quot;Butagee&quot; de Iin Janai?) é um jogo de simulação de criação em que o jogador é um treinador de porcos e pega 11 porcos diferentes (machos e fêmeas) no modo história para escolher um deles e treiná-lo com diferentes treinamentos (como boxe, levantamento de peso, corrida, etc) para melhorar as estatísticas do porco e quando achar que o porco está pronto pode levá-lo (ou ela) a diferentes torneios de corrida nos quais o porco competirá com outros para se tornar o porco mais rápido do país. Durante cada semana o jogador pode escolher os diferentes treinos, deixar o porco divertir-se (ouvir rádio, ver televisão, jogar, etc) ou ir com ele à loja e comprar diferentes refeições para melhorar as estatísticas do porco e fazer o porco vida mais confortável. O jogo também apresenta um modo vs no qual o jogador pode carregar seus porcos do cartão de memória e competir nos diferentes torneios contra outro jogador humano.
0 kara no Shougi - Shougi Youchien Ayumi-gumi (Japan)	0 Kara no Shogi - Shogi Youchien Ayumi-Gumi é um jogo shogi que inclui 5 tipos diferentes de tabuleiros, um tutorial completo e um dicionário em língua japonesa, diferentes modos vs (também 2 jogadores vs modo), uma espécie de modo de batalha em que o jogador avança derrotando adversários e o jogo tem 10 adversários diferentes.
007 - Demain ne Meurt Jamais (France)	Em 007: Tomorrow Never Dies, que é baseado no filme de mesmo nome, o jogador assume o papel do famoso James Bond que luta contra Elliot Carver. Carver tenta aumentar sua audiência na TV criando uma guerra entre os britânicos e os chineses. Para atingir seu objetivo, ele afundou um navio britânico com seu navio stealth e fez parecer que a Força Aérea chinesa foi o agressor. Agora é responsabilidade de Bond para definir as coisas direito
007 - Der Morgen Stirbt Nie (Germany)	Em 007: Tomorrow Never Dies, que é baseado no filme de mesmo nome, o jogador assume o papel do famoso James Bond que luta contra Elliot Carver. Carver tenta aumentar sua audiência na TV criando uma guerra entre os britânicos e os chineses. Para atingir seu objetivo, ele afundou um navio britânico com seu navio stealth e fez parecer que a Força Aérea chinesa foi o agressor. Agora é responsabilidade de Bond para definir as coisas direito
007 - Die Welt Ist Nicht Genug (Germany)	Em 007 Racing você pode ficar atrás do volante do carro de James Bond. Você deve completar missões que variam de coletar um objeto e sair vivo, para coisas muito mais difíceis e mais complicadas. Seu carro está armado com muitas armas, incluindo minas, foguetes, lasers, cortinas de fumaça e muito mais. Então, se você ficar entediado jogando sozinho, você pode eliminar seu oponente em missões multiplayer onde você tem que destruir o outro carro ou um modo de jogo chamado &quot;Passar a bomba&quot;, onde você deve passar a bomba para o outro carro por tocá-lo antes de explodir.
007 - El Mundo Nunca es Suficiente (Spain)	Em 007 Racing você pode ficar atrás do volante do carro de James Bond. Você deve completar missões que variam de coletar um objeto e sair vivo, para coisas muito mais difíceis e mais complicadas. Seu carro está armado com muitas armas, incluindo minas, foguetes, lasers, cortinas de fumaça e muito mais. Então, se você ficar entediado jogando sozinho, você pode eliminar seu oponente em missões multiplayer onde você tem que destruir o outro carro ou um modo de jogo chamado &quot;Passar a bomba&quot;, onde você deve passar a bomba para o outro carro por tocá-lo antes de explodir.
007 - Le Monde ne Suffit Pas (France)	Em 007 Racing você pode ficar atrás do volante do carro de James Bond. Você deve completar missões que variam de coletar um objeto e sair vivo, para coisas muito mais difíceis e mais complicadas. Seu carro está armado com muitas armas, incluindo minas, foguetes, lasers, cortinas de fumaça e muito mais. Então, se você ficar entediado jogando sozinho, você pode eliminar seu oponente em missões multiplayer onde você tem que destruir o outro carro ou um modo de jogo chamado &quot;Passar a bomba&quot;, onde você deve passar a bomba para o outro carro por tocá-lo antes de explodir.
